id_client,name,surname,email,id_prod,description,color,size
33,Adèle,Jardin,cjardin0@answers.com,13,,Teal,2XL
26,Wá,Founds,dfounds1@theguardian.com,91,,Goldenrod,XL
85,Séréna,Piffe,bpiffe2@yolasite.com,62,,Blue,M
9,Judicaël,Heaps,aheaps3@yale.edu,54,,Aquamarine,XL
92,Bénédicte,Kirkbright,ekirkbright4@rambler.ru,23,,Orange,3XL
9,Marlène,Cruxton,lcruxton5@google.com.hk,76,,Fuscia,2XL
92,Mén,Gorwood,lgorwood6@prlog.org,34,,Aquamarine,3XL
70,Daphnée,Lannen,clannen7@wikipedia.org,36,,Green,M
36,Clémentine,Locker,mlocker8@cam.ac.uk,72,,Indigo,L
19,Jú,Simoncini,ssimoncini9@springer.com,27,,Goldenrod,2XL
13,Pénélope,Rucklesse,erucklessea@google.com,25,,Maroon,L
71,Léone,Mochar,amocharb@indiegogo.com,63,,Crimson,3XL
34,Maëly,Dennistoun,rdennistounc@google.ca,93,,Khaki,M
86,Pélagie,Poulsum,kpoulsumd@123-reg.co.uk,13,,Crimson,3XL
84,Mårten,Fryett,afryette@technorati.com,57,,Puce,3XL
